abook
accounts-qml-module
acl
acpi
acpid
adobe-source-code-pro-fonts
adwaita-icon-theme
alsa-firmware
alsa-lib
alsa-plugins
alsa-utils
android-tools
android-udev
aom
appstream-glib
apr
apr-util
arandr
archlinux-appstream-data
archlinux-keyring
argon2
asar
aspell
at
at-spi2-atk
at-spi2-core
atk
atkmm
atool
attica
attr
audiofile
audit
auracle
autoconf
automake
avahi
b43-fwcutter
babl
bash
bash-completion
bashrc-manjaro
bc
bcg729
bind-tools
binutils
bison
blas
bluez-libs
boost-libs
bridge-utils
brotli
btrfs-progs
bzip2
c-ares
ca-certificates
ca-certificates-mozilla
ca-certificates-utils
cabextract
cairo
cairomm
calcurse
calibre
cantarell-fonts
cdparanoia
cdrdao
chmlib
chromium
cifs-utils
clucene
colord
compton
containerd
coreutils
cpupower
cracklib
crda
cronie
crypto++
cryptsetup
cups
cups-filters
curl
db
dbus
dbus-glib
dconf
desktop-file-utils
device-mapper
dhclient
dhcpcd
dialog
diffutils
ding-libs
discount
djvulibre
dkms
dmraid
dnsmasq
dnssec-anchors
docker
docx2txt
dosfstools
double-conversion
dunst
dunstify
e2fsprogs
ecryptfs-utils
ed
editorconfig-core-c
efibootmgr
efivar
electron
electron4
enchant
exfat-utils
exiv2
expac
expat
extcalc
f2fs-tools
f3
faac
faad2
fakeroot
feh
ffmpeg
fftw
file
file-roller
filesystem
filezilla
findutils
firefox
flac
flex
fluidsynth
fontawesome.sty
fontconfig
foomatic-db-engine
freerdp
freetype2
fribidi
fuse-common
fuse2
fzf
gawk
gc
gcab
gcc
gcc-gcj-ecj
gcc-libs
gcc6
gcc6-fortran
gcc6-gcj
gcc6-libs
gconf
gcr
gd
gdb
gdb-common
gdbm
gdk-pixbuf2
gegl
geoclue
geocode-glib
geoip
geoip-database
gettext
ghostscript
giblib
giflib
gimp
girara
git
git-crypt
glew
glib-networking
glib2
glibc
glibmm
glslang
glu
gmime
gmime3
gmp
gnome-keyring
gnome-themes-extra
gnupg
gnutls
go
gobject-introspection-runtime
google-chrome
gpgme
gpm
gptfdisk
graphene
graphite
grep
groff
grub
grub-theme-manjaro
gsasl
gsettings-desktop-schemas
gsfonts
gsm
gssproxy
gst-plugins-base
gst-plugins-base-libs
gstreamer
gtk-engine-murrine
gtk-engines
gtk-theme-arc-gruvbox-git
gtk-update-icon-cache
gtk2
gtk3
gtkmm
guile
guile2.0
gvim
gzip
harfbuzz
harfbuzz-icu
haveged
hdparm
hibernator
hicolor-icon-theme
highlight
hspell
htop-vim-git
http-parser
hunspell
hunspell-en_US
hwids
hwinfo
hyphen
hyx
i3-gaps
i3blocks
i3lock
iana-etc
icu
ijs
ilmbase
imagemagick
imlib2
inetutils
intel-tbb
intel-ucode
iproute2
iptables
iputils
ipw2100-fw
ipw2200-fw
irssi
iso-codes
isync
iw
jack
jansson
jasper
java-environment-common
java-runtime-common
jbig2dec
jdk8-openjdk
jdownloader2
jemalloc
jfsutils
jq
jre8-openjdk
jre8-openjdk-headless
js52
js60
json-c
json-glib
jsoncpp
jxrlib
kaccounts-integration
kactivities
karchive
kauth
kbd
kbookmarks
kcmutils
kcodecs
kcompletion
kconfig
kconfigwidgets
kcoreaddons
kcrash
kdbusaddons
kdeclarative
keepass
keyutils
kglobalaccel
kguiaddons
khtml
ki18n
kiconthemes
kile
kinit
kio
kirigami2
kitemviews
kjobwidgets
kjs
kmod
knotifications
kpackage
kparts
kpty
krb5
kservice
ktexteditor
ktextwidgets
kwallet
kwidgetsaddons
kwindowsystem
kxmlgui
kyotocabinet
l-smash
lame
lapack
lcms2
ldb
ldns
lensfun
less
lftp
lib32-acl
lib32-attr
lib32-bzip2
lib32-dbus
lib32-expat
lib32-fontconfig
lib32-freetype2
lib32-gcc-libs
lib32-gettext
lib32-glib2
lib32-glibc
lib32-glu
lib32-harfbuzz
lib32-icu
lib32-lcms2
lib32-libcap
lib32-libdrm
lib32-libelf
lib32-libffi
lib32-libgcrypt
lib32-libglvnd
lib32-libgpg-error
lib32-libice
lib32-libjpeg-turbo
lib32-libjpeg6-turbo
lib32-libnl
lib32-libpcap
lib32-libpciaccess
lib32-libpng
lib32-libpng12
lib32-libsm
lib32-libtiff
lib32-libusb
lib32-libx11
lib32-libxau
lib32-libxcb
lib32-libxcursor
lib32-libxdamage
lib32-libxdmcp
lib32-libxext
lib32-libxfixes
lib32-libxi
lib32-libxinerama
lib32-libxml2
lib32-libxrandr
lib32-libxrender
lib32-libxshmfence
lib32-libxtst
lib32-libxxf86vm
lib32-llvm-libs
lib32-lm_sensors
lib32-lz4
lib32-mesa
lib32-ncurses
lib32-pcre
lib32-readline
lib32-systemd
lib32-util-linux
lib32-wayland
lib32-xz
lib32-zlib
lib32-zstd
libabw
libaccounts-glib
libaccounts-qt
libaio
libao
libarchive
libass
libassuan
libasyncns
libatasmart
libatomic_ops
libavc1394
libblockdev
libbluray
libbsd
libbytesize
libcaca
libcanberra
libcap
libcap-ng
libcddb
libcdio
libcdio-paranoia
libcdr
libcmis
libconfig
libcroco
libcups
libdaemon
libdatrie
libdbusmenu-qt5
libde265
libdmx
libdrm
libdvdnav
libdvdread
libe-book
libedit
libelf
libepoxy
libepubgen
libetonyek
libev
libevdev
libevent
libexif
libexttextcat
libfbclient
libffi
libfilezilla
libfm
libfm-extra
libfm-gtk2
libfontenc
libfreehand
libgcrypt
libgdiplus
libgexiv2
libgit2
libglade
libglvnd
libgme
libgpg-error
libgssglue
libgudev
libgusb
libheif
libibus
libice
libid3tag
libidn
libidn2
libiec61883
libimagequant
libimobiledevice
libinput
libixion
libjpeg-turbo
libkexiv2
libksba
liblangtag
libldap
liblouis
liblqr
libmad
libmaxminddb
libmediainfo
libmikmod
libmm-glib
libmms
libmng
libmnl
libmodplug
libmp4v2
libmpc
libmpcdec
libmpdclient
libmspub
libmtp
libmwaw
libmypaint
libndp
libnetfilter_conntrack
libnewt
libnfnetlink
libnfs
libnftnl
libnghttp2
libnl
libnm
libnm-glib
libnma
libnotify
libnsl
libnumbertext
libodfgen
libogg
libomxil-bellagio
liborcus
libotr
libpagemaker
libpaper
libpcap
libpciaccess
libpgm
libpipeline
libplist
libpng
libproxy
libpsl
libpulse
libqalculate
libqxp
libraqm
libraw
libraw1394
libreoffice-fresh
librevenge
librsvg
libsamplerate
libsasl
libseccomp
libsecret
libshout
libsigc++
libsigsegv
libsm
libsndfile
libsodium
libsoup
libsoxr
libspectre
libspiro
libssh
libssh2
libstaroffice
libstemmer
libsynctex
libtasn1
libteam
libtermkey
libthai
libtheora
libtiff
libtirpc
libtommath
libtool
libunistring
libunrar
libunwind
libupnp
libusb
libusbmuxd
libutempter
libutf8proc
libutil-linux
libuv
libva
libvdpau
libvisio
libvisual
libvoikko
libvorbis
libvpx
libvterm
libwacom
libwbclient
